src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.icu.chartevents,226108,CCO PAC placed in outside facility,CCO PAC placed in outside facility,Access Lines - Invasive,,numeric,0.0,0.0,0.0,8074,942,0.0259,,,
mimiciv.icu.chartevents,224913,Impaired Skin Drainage Amount #6,Site Drainage Amount #6,Skin - Impairment,,categorical,,,,8021,460,0.0127,,,
mimiciv.icu.chartevents,226134,ICP Line Zero/Calibrate,ICP Line Zero/Calibrate,Access Lines - Invasive,,numeric,0.0,1.0,1.0,7989,602,0.0166,,,
mimiciv.icu.chartevents,227805,SvO2 SQI,SvO2 SQI,Hemodynamics,,categorical,,,,7890,1018,0.028,,,
mimiciv.icu.chartevents,224090,Knee Immobilizer Status,Knee Immobilizer Status,Treatments,,categorical,,,,7855,1395,0.0384,,,
mimiciv.icu.chartevents,227680,Restraint Location_V2,Restraint Location_V2,Restraint/Support Systems,,categorical,,,,7708,366,0.0101,,,
mimiciv.icu.chartevents,228735,Pressure ulcer #3- Wound Base,Pressure ulcer #3- Wound Base,Skin - Impairment,,categorical,,,,7687,393,0.0108,,,
mimiciv.icu.chartevents,228303,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,,categorical,,,,7614,903,0.0248,,,
mimiciv.icu.chartevents,228579,Impaired Skin #4- Type,Impaired Skin #4- Type,Skin - Impairment,,categorical,,,,7594,505,0.0139,,,
mimiciv.icu.chartevents,230045,Intellivent (Hamilton Vent Mode),Intellivent (Hamilton Vent Mode),Respiratory,,numeric,0.0,0.0,1.0,7563,491,0.0135,,,
mimiciv.icu.chartevents,225379,Indwelling Port (PortaCath) Site Appear,Indwelling Port (PortaCath) Site Appear,Access Lines - Invasive,,categorical,,,,7487,488,0.0134,,,
mimiciv.icu.chartevents,229705,CP-Pain Assessment Method,CP-Pain Assessment Method,Pain/Sedation,,categorical,,,,7487,1102,0.0303,,,
mimiciv.icu.chartevents,226112,Midline placed in outside facility,Midline placed in outside facility,Access Lines - Invasive,,numeric,0.0,0.0,1.0,7430,547,0.0151,,,
mimiciv.icu.chartevents,224746,Transpulmonary Pressure (Exp. Hold),Transpulmonary Press (Exp. Hold),Respiratory,cmH2O,numeric,-7.677,0.0859,14.6623,7206,790,0.0217,,,
mimiciv.icu.chartevents,227360,Indwelling Port (PortaCath) Dressing Occlusive,Indwelling Port (PortaCath) Dressing Occlusive_201,Access Lines - Invasive,,numeric,1.0,1.0,1.0,7174,470,0.0129,,,
mimiciv.icu.chartevents,224747,Transpulmonary Pressure (Insp. Hold),Transpulmonary Press (Insp. Hold),Respiratory,cmH2O,numeric,-1.1342,9.1227,31.0358,7086,787,0.0217,,,
mimiciv.icu.chartevents,228834,Pressure ulcer #2- Tunneling present,Pressure ulcer #2- Tunneling present,Skin - Impairment,,categorical,,,,7017,520,0.0143,,,
mimiciv.icu.chartevents,228508,Pressure Ulcer #3- Location,Pressure Ulcer #3- Location,Skin - Impairment,,categorical,,,,6981,541,0.0149,,,
mimiciv.icu.chartevents,227125,Indwelling (PortaCath) Port Type,Indwelling (PortaCath) Port Type,Access Lines - Invasive,,categorical,,,,6964,457,0.0126,,,
mimiciv.icu.chartevents,228551,Pressure Ulcer #3- Type,Pressure Ulcer #3- Type,Skin - Impairment,,categorical,,,,6783,567,0.0156,,,
mimiciv.icu.chartevents,224844,Permanent Pacemaker Mode,Permanent Pacemaker Mode,Cardiovascular (Pacer Data),,categorical,,,,6675,1189,0.0327,,,
mimiciv.icu.chartevents,224791,GI #3 Tube Type,GI #3 Tube Type,GI/GU,,categorical,,,,6664,371,0.0102,,,
mimiciv.icu.chartevents,224442,GI #3 Intub Site,GI #3 Intub Site,GI/GU,,categorical,,,,6597,366,0.0101,,,
mimiciv.icu.chartevents,224792,GI #3 Tube Status,GI #3 Tube Status,GI/GU,,categorical,,,,6571,367,0.0101,,,
mimiciv.icu.chartevents,228856,Impaired Skin #4- Type,Impaired Skin #4- Type,Skin - Impairment,,categorical,,,,6482,596,0.0164,,,
mimiciv.icu.chartevents,228815,Pressure ulcer #3- Stage,Pressure ulcer #3- Stage,Skin - Impairment,,categorical,,,,6369,480,0.0132,,,
mimiciv.icu.chartevents,228844,Pressure ulcer #2- Undermining present,Pressure ulcer #2- Undermining present,Skin - Impairment,,categorical,,,,6348,471,0.013,,,
mimiciv.icu.chartevents,228745,Pressure ulcer #3- Surrounding tissue,Pressure ulcer #3- Surrounding tissue,Skin - Impairment,,categorical,,,,6322,439,0.0121,,,
mimiciv.icu.chartevents,227669,Side Rails (Restraint),Side Rails (Restraint),Restraint/Support Systems,,categorical,,,,5984,369,0.0102,,,
mimiciv.icu.chartevents,228368,Cardiac Index (CI NICOM),Cardiac Index (CI NICOM),NICOM,L/min/m2,numeric,1.379,2.9084,6.5007,5939,763,0.021,,,
mimiciv.icu.chartevents,225949,NIV Mask,NIV Mask,Respiratory,,categorical,,,,5909,715,0.0197,,,
mimiciv.icu.chartevents,229316,TOF Twitch,TOF Twitch,Pain/Sedation,,categorical,,,,5767,1484,0.0408,,,
mimiciv.icu.chartevents,229979,COVID NCP - Plan revised,COVID NCP - Plan revised,Care Plans,,categorical,,,,5717,611,0.0168,,,
mimiciv.icu.chartevents,227439,Indwelling Port (PortaCath) placed in outside facility,Indwelling Port placed in outside facility,Access Lines - Invasive,,numeric,0.0,0.0,1.0,5491,372,0.0102,,,
mimiciv.icu.chartevents,223941,Popliteal Pulse R,Popliteal Pulse R,Cardiovascular (Pulses),,categorical,,,,5486,1383,0.0381,,,
mimiciv.icu.chartevents,229104,Nutrition  NCP - Plan revised,Nutrition NCP - Plan revised,Care Plans,,categorical,,,,5452,1334,0.0367,,,
mimiciv.icu.chartevents,225339,IABP Site Appear,IABP Site Appear,Access Lines - Invasive,,categorical,,,,5418,572,0.0157,,,
mimiciv.icu.chartevents,228375,Stroke Volume Index (SVI NICOM),Stroke Volume Index (SVI NICOM),NICOM,%,numeric,14.4392,32.0812,75.0631,5346,745,0.0205,,,
mimiciv.icu.chartevents,227578,BiPap Mask,BiPap Mask,Respiratory,,categorical,,,,5305,1421,0.0391,,,
mimiciv.icu.chartevents,229980,COVID NCP - Problem resolved,COVID NCP - Problem resolved,Care Plans,,categorical,,,,5296,610,0.0168,,,
mimiciv.icu.chartevents,227755,Midline Placement Confirmed by X-ray,Midline Placement Confirmed by X-ray,Access Lines - Invasive,,categorical,,,,5264,383,0.0105,,,
mimiciv.icu.chartevents,229375,UF Heparin (Anti-Xa),UF Heparin (Anti-Xa),Labs,,numeric,0.0419,0.3406,1.4815,5252,482,0.0133,,,
mimiciv.icu.chartevents,228533,Impaired Skin #5- Treatment,Impaired Skin #5- Treatment,Skin - Impairment,,categorical,,,,5160,543,0.0149,,,
mimiciv.icu.chartevents,225767,Sheath Site Appear,Sheath Site Appear,Access Lines - Invasive,,categorical,,,,5073,807,0.0222,,,
mimiciv.icu.chartevents,228369,Cardiac Output (CO NICOM),Cardiac Output (CO NICOM),NICOM,L/min,numeric,2.3223,5.5327,12.9332,5027,643,0.0177,,,
mimiciv.icu.chartevents,227577,BiPap Mode,BiPap Mode,Respiratory,,categorical,,,,5027,1289,0.0355,,,
mimiciv.icu.chartevents,224702,PCV Level,PCV Level,Respiratory,cmH2O,numeric,0.0134,15.0,36.4011,5006,1034,0.0285,,,
mimiciv.icu.chartevents,227579,BiPap EPAP,BiPap EPAP,Respiratory,cmH2O,numeric,4.0,6.0,17.9241,5000,1258,0.0346,,,
mimiciv.icu.chartevents,228804,Pressure ulcer #2- Dressing status,Pressure ulcer #2- Dressing status,Skin - Impairment,,categorical,,,,4979,846,0.0233,,,
mimiciv.icu.chartevents,225982,IABP Balloon Waveform,IABP Balloon Waveform,Access Lines - Invasive,,categorical,,,,4968,568,0.0156,,,
mimiciv.icu.chartevents,223946,Popliteal Pulse L,Popliteal Pulse L,Cardiovascular (Pulses),,categorical,,,,4940,1317,0.0362,,,
mimiciv.icu.chartevents,225986,IABP Arterial Waveform Source,IABP Arterial Waveform Source,Access Lines - Invasive,,categorical,,,,4935,567,0.0156,,,
mimiciv.icu.chartevents,226110,IABP placed in outside facility,IABP placed in outside facility,Access Lines - Invasive,,numeric,0.0,0.0,1.0,4931,565,0.0155,,,
mimiciv.icu.chartevents,225985,IABP Helium Tubing,IABP Helium Tubing,Access Lines - Invasive,,categorical,,,,4912,563,0.0155,,,
mimiciv.icu.chartevents,225341,IABP Art. Waveform Appear,IABP Art. Waveform Appear,Access Lines - Invasive,,categorical,,,,4881,565,0.0155,,,
mimiciv.icu.chartevents,225981,IABP Alarms Activated,IABP Alarms Activated,Access Lines - Invasive,,numeric,0.0206,1.0,1.0,4836,549,0.0151,,,
mimiciv.icu.chartevents,225979,IABP Size,IABP Size,Access Lines - Invasive,,categorical,,,,4797,551,0.0152,,,
mimiciv.icu.chartevents,225342,IABP Zero/Calibrate,IABP Zero/Calibrate,Access Lines - Invasive,,numeric,0.0,1.0,1.0,4780,548,0.0151,,,
mimiciv.icu.chartevents,227580,BiPap IPAP,BiPap IPAP,Respiratory,cmH2O,numeric,4.9747,12.3012,25.0,4769,1161,0.0319,,,
mimiciv.icu.chartevents,223763,Bladder Pressure,Bladder Pressure,Routine Vital Signs,mmHg,numeric,4.8578,16.9189,37.2699,4769,989,0.0272,,,
mimiciv.icu.chartevents,225987,IABP Power Source,IABP Power Source,Access Lines - Invasive,,categorical,,,,4719,552,0.0152,,,
