src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.icu.chartevents,228499,Impaired Skin #4- Location,Impaired Skin #4- Location,Skin - Impairment,,categorical,,,,21235,1103,0.0304,,,
mimiciv.icu.chartevents,224652,Unassisted Systole,SYS - Unassisted,IABP,mmHg,numeric,59.9095,94.3021,158.1495,21164,586,0.0161,,,
mimiciv.icu.chartevents,224654,PAEDP,DIA - Unassisted,IABP,mmHg,numeric,26.0898,52.7522,91.6126,21126,586,0.0161,,,
mimiciv.icu.chartevents,228318,Shivering Assessment,Shivering Assessment,Treatments,,numeric,0.0,0.0,2.3093,20756,853,0.0235,,,
mimiciv.icu.chartevents,229327,Activity Intolerance  NCP - Expected outcomes,AI NCP - Expected outcomes,Care Plans,,categorical,,,,20647,722,0.0199,,,
mimiciv.icu.chartevents,229129,Altered Sensory Perception NCP - Problem resolved,ASP NCP - Problem resolved,Care Plans,,categorical,,,,20491,1705,0.0469,,,
mimiciv.icu.chartevents,227665,Immobilizer Evaluated,Immobilizer Evaluated,Restraint/Support Systems,,categorical,,,,20146,826,0.0227,,,
mimiciv.icu.chartevents,227980,Intra Aortic Balloon Pump Setting,IABP Setting,IABP,,categorical,,,,19911,554,0.0152,,,
mimiciv.icu.chartevents,229145,Metabolic disturbance NCP - Interventions,Metabolic disturbance NCP - Interventions,Care Plans,,categorical,,,,19726,493,0.0136,,,
mimiciv.icu.chartevents,224995,Incision Appearance #4,Incision Appearance #4,Skin - Incisions,,categorical,,,,19514,968,0.0266,,,
mimiciv.icu.chartevents,225006,Incision Closure #4,Incision Closure #4,Skin - Incisions,,categorical,,,,19087,942,0.0259,,,
mimiciv.icu.chartevents,224172,MDI #2 Puff,MDI #2 Puff,Respiratory,,numeric,2.0,6.0,8.0,18995,1430,0.0394,,,
mimiciv.icu.chartevents,224911,Impaired Skin Drainage Amount #4,Site Drainage Amount #4,Skin - Impairment,,categorical,,,,18942,1379,0.0379,,,
mimiciv.icu.chartevents,224961,Impaired Skin Wound Base #5,Site/Wound Base #5,Skin - Impairment,,categorical,,,,18931,735,0.0202,,,
mimiciv.icu.chartevents,224979,Tunneling Present #2,Tunneling Present #2,Skin - Impairment,,categorical,,,,18912,924,0.0254,,,
mimiciv.icu.chartevents,224663,PCA attempt,PCA attempt,Pain/Sedation,,numeric,0.0,6.002,178.5239,18860,1628,0.0448,,,
mimiciv.icu.chartevents,224332,PCA inject,PCA inject,Pain/Sedation,,numeric,0.0,4.0,55.2924,18860,1622,0.0446,,,
mimiciv.icu.chartevents,224965,Pressure Ulcer Stage #2,Pressure Ulcer Stage #2,Skin - Impairment,,mixed,1.0,2.0,4.0,18038,810,0.0223,,,
mimiciv.icu.chartevents,224933,Impaired Skin Site #5,Site #5,Skin - Impairment,,categorical,,,,17650,564,0.0155,,,
mimiciv.icu.chartevents,224917,Impaired Skin Length #3,Site Length #3,Skin - Impairment,cm,numeric,0.0,2.0412,17.2588,17595,958,0.0264,,,
mimiciv.icu.chartevents,229656,Stroke NCP - Water Swallow Deferred,Stroke NCP - Water Swallow Deferred,Care Plans,,categorical,,,,17348,766,0.0211,,,
mimiciv.icu.chartevents,228971,Nutrition NCP - Body needs,Nutrition NCP - Body needs,Care Plans,,categorical,,,,17252,1398,0.0385,,,
mimiciv.icu.chartevents,224975,Surrounding Tissue #5,Surrounding Tissue #5,Skin - Impairment,,categorical,,,,17237,780,0.0215,,,
mimiciv.icu.chartevents,224998,Incision Cleansing #2,Incision Cleansing #2,Skin - Incisions,,categorical,,,,17183,954,0.0263,,,
mimiciv.icu.chartevents,224952,Impaired Skin Width #3,Site Width #3,Skin - Impairment,cm,numeric,0.0,1.0353,13.6586,17096,920,0.0253,,,
mimiciv.icu.chartevents,223972,Angio Appearance # 2,Angio Appearance # 2,Cardiovascular,,categorical,,,,17020,1316,0.0362,,,
mimiciv.icu.chartevents,229243,Neuro Mon Line Type,Neuro Mon Line Type,Access Lines - Invasive,,categorical,,,,16962,441,0.0121,,,
mimiciv.icu.chartevents,223971,Angio Site # 2,Angio Site # 2,Cardiovascular,,categorical,,,,16629,1311,0.0361,,,
mimiciv.icu.chartevents,227782,Impaired Skin  - Dressing Status #3,Impaired Skin  - Dressing Status #3,Skin - Impairment,,categorical,,,,16585,698,0.0192,,,
mimiciv.icu.chartevents,224890,Impaired Skin Cleanse #4,Site Cleanse #4,Skin - Impairment,,categorical,,,,16361,670,0.0184,,,
mimiciv.icu.chartevents,224986,Undermining Present #2,Undermining Present #2,Skin - Impairment,,categorical,,,,16325,809,0.0223,,,
