src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.hosp.labevents,50948,Immunofixation,,Chemistry,,categorical,,,,521,508,0.014,,,
mimiciv.hosp.labevents,50939,"Hepatitis B Core Antibody, IgM",,Chemistry,N/A,categorical,,,,513,498,0.0137,,,
mimiciv.hosp.labevents,50906,"Cholesterol, LDL, Measured",,Chemistry,mg/dL,mixed,7.0,81.5417,248.5001,509,473,0.013,,,
mimiciv.hosp.labevents,51108,Urine Volume,,Chemistry,mL,numeric,45.3,1511.7347,7094.001,504,400,0.011,,,
mimiciv.hosp.labevents,51505,Uric Acid Crystals,,Hematology,/hpf,categorical,,,,503,449,0.0124,,,
mimiciv.hosp.labevents,51094,pH,,Chemistry,,numeric,1.0,5.0,8.0,496,395,0.0109,,,
mimiciv.hosp.labevents,52131,HIT-Ab Interpreted Result,,Hematology,N/A,categorical,,,,480,426,0.0117,,,
mimiciv.hosp.labevents,52132,HIT-Ab Numerical Result,,Hematology,U/mL,mixed,0.425,0.9,12.06,480,426,0.0117,,,
mimiciv.hosp.labevents,51085,"HCG, Urine, Qualitative",,Chemistry,+/-,categorical,,,,471,461,0.0127,,,
mimiciv.hosp.labevents,51625,Free Kappa,,Chemistry,mg/L,numeric,0.8,38.2571,2820.4014,468,382,0.0105,,,
mimiciv.hosp.labevents,51627,Free Lambda,,Chemistry,mg/L,numeric,0.913,36.2327,9577.6957,468,382,0.0105,,,
mimiciv.hosp.labevents,51626,Free Kappa/Free Lambda Ratio,,Chemistry,,numeric,0.0,1.2,495.8043,466,381,0.0105,,,
mimiciv.hosp.labevents,53113,Rapid Respiratory Syncytial Virus,,Chemistry,,categorical,,,,465,403,0.0111,,,
mimiciv.hosp.labevents,51105,"Uric Acid, Urine",,Chemistry,mg/dL,numeric,3.108,25.7918,111.88,464,400,0.011,,,
mimiciv.hosp.labevents,51469,Calcium Oxalate Crystals,,Hematology,/hpf,categorical,,,,462,423,0.0116,,,
mimiciv.hosp.labevents,51088,"Magnesium, Urine",,Chemistry,mg/dL,mixed,0.5,5.2167,40.824,461,399,0.011,,,
mimiciv.hosp.labevents,51662,HPE6,,Chemistry,,numeric,0.1923,0.2796,8.7248,459,441,0.0121,,,
mimiciv.hosp.labevents,50874,"Anti-Nuclear Antibody, Titer",,Chemistry,N/A,categorical,,,,445,420,0.0116,,,
mimiciv.hosp.labevents,51497,Renal Epithelial Cells,,Hematology,#/hpf,mixed,0.27,1.0,22.3,444,427,0.0118,,,
mimiciv.hosp.labevents,51086,"Immunofixation, Urine",,Chemistry,,categorical,,,,442,421,0.0116,,,
mimiciv.hosp.labevents,51419,Eosinophils,,Hematology,%,numeric,1.0,2.0,44.9,441,381,0.0105,,,
mimiciv.icu.chartevents,229652,Stroke NCP - Interventions,Stroke NCP - Interventions,Care Plans,,categorical,,,,388360,1696,0.0467,,,
mimiciv.icu.chartevents,229644,Stroke NCP - Expected outcomes,Stroke NCP - Expected outcomes,Care Plans,,categorical,,,,286543,1733,0.0477,,,
mimiciv.icu.chartevents,229126,Altered Sensory Perception NCP - Interventions,ASP NCP - Interventions,Care Plans,,categorical,,,,224076,1713,0.0471,,,
mimiciv.icu.chartevents,229977,COVID NCP - Interventions,COVID NCP - Interventions,Care Plans,,categorical,,,,183863,587,0.0162,,,
mimiciv.icu.chartevents,224146,System Integrity,System Integrity,Dialysis,,categorical,,,,164914,1187,0.0327,,,
mimiciv.icu.chartevents,229647,Stroke NCP - Problem,Stroke NCP - Problem,Care Plans,,categorical,,,,164698,1707,0.047,,,
mimiciv.icu.chartevents,226457,Ultrafiltrate Output,Ultrafiltrate Output,Dialysis,mL,numeric,0.3301,353.7285,787.3247,155659,1349,0.0371,,,
