src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciii.CHARTEVENTS,401,Inc #5 [Dressing],,,,categorical,,,,6821,194,0.0102,,,
mimiciii.CHARTEVENTS,104,CT #3 Drainage,,,,categorical,,,,6735,256,0.0134,,,
mimiciii.CHARTEVENTS,672,TCPCV-MAP,,,,numeric,8.0,20.6123,37.0865,6626,332,0.0174,,,
mimiciii.CHARTEVENTS,1422,Ataxia,,,,categorical,,,,6582,523,0.0274,,,
mimiciii.CHARTEVENTS,106,CT #3 [Fluctuate],,,,categorical,,,,6570,256,0.0134,,,
mimiciii.CHARTEVENTS,457,NMB Medication,,,,categorical,,,,6518,289,0.0151,,,
mimiciii.CHARTEVENTS,189,FiO2 (Analyzed),,,torr,mixed,0.3,0.5,1.0,6454,944,0.0494,,,
mimiciii.CHARTEVENTS,378,Impaired Skin Site#5,,,,categorical,,,,6404,265,0.0139,,,
mimiciii.CHARTEVENTS,8375,CT #3 [Leak],,,,categorical,,,,6386,253,0.0132,,,
mimiciii.CHARTEVENTS,160,Ectopy Frequency 2,,,,categorical,,,,6368,279,0.0146,,,
mimiciii.CHARTEVENTS,396,Inc #5 [Drainage],,,,categorical,,,,6357,191,0.01,,,
mimiciii.CHARTEVENTS,669,TCPCV I:E Ratio,,,,categorical,1.0,1.7244,4.6,6265,331,0.0173,,,
mimiciii.CHARTEVENTS,460,Nerve Stimulated,,,,categorical,,,,6218,314,0.0164,,,
mimiciii.CHARTEVENTS,8404,ImpSkin #3 [Amount],,,,categorical,,,,6134,622,0.0325,,,
mimiciii.CHARTEVENTS,227464,Potassium (whole blood),Potassium (whole blood),Labs,mEq/L,numeric,2.8907,4.076,6.3274,6109,771,0.0403,,,
mimiciii.CHARTEVENTS,552,Pressure Sore #2 [Stage],,,,categorical,,,,6046,354,0.0185,,,
mimiciii.CHARTEVENTS,668,TCPCV Fixed I Time,,,,categorical,,,,5873,314,0.0164,,,
mimiciii.CHARTEVENTS,177,Epidural Appearance,,,,categorical,,,,5342,468,0.0245,,,
mimiciii.CHARTEVENTS,360,ImpSkin Treatment #5,,,,categorical,,,,5201,248,0.013,,,
mimiciii.CHARTEVENTS,1,% Inspir. Time,,,,categorical,,,,5087,891,0.0466,,,
mimiciii.CHARTEVENTS,8366,Angio Appearance #2 [Attribute 2],,,,categorical,,,,5018,452,0.0237,,,
mimiciii.CHARTEVENTS,1078,BATH,,,,categorical,,,,4968,909,0.0476,,,
mimiciii.CHARTEVENTS,532,Peak Flow (Calc),,,lpm,mixed,15.8786,41.151,63.827,4863,889,0.0465,,,
mimiciii.CHARTEVENTS,348,ImpSkin Character #5,,,,categorical,,,,4834,258,0.0135,,,
mimiciii.CHARTEVENTS,561,Pressure Sore #1 [Width],,,,categorical,,,,4796,812,0.0425,,,
