src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.icu.chartevents,228699,Cardiovascular,Cardiovascular,MD Progress Note,,categorical,,,,2303,537,0.0148,,,
mimiciv.icu.chartevents,228702,Lines/Tubes,Lines/Tubes,MD Progress Note,,categorical,,,,2284,445,0.0122,,,
mimiciv.icu.chartevents,228774,Pressure ulcer #2- Odor,Pressure ulcer #2- Odor,Skin - Impairment,,numeric,0.0,0.0,1.0,2244,713,0.0196,,,
mimiciv.icu.chartevents,228755,Pressure ulcer #3- Drainage,Pressure ulcer #3- Drainage,Skin - Impairment,,categorical,,,,2218,429,0.0118,,,
mimiciv.icu.chartevents,229027,Constitutional,Constitutional,MD Progress Note,,categorical,,,,2194,537,0.0148,,,
mimiciv.icu.chartevents,229155,Palliative Care NCP - Problem resolved,Palliative Care NCP - Problem resolved,Care Plans,,categorical,,,,2189,535,0.0147,,,
mimiciv.icu.chartevents,224411,Epidural Bolus (mL),Epidural Bolus (mL),Pain/Sedation,mL,numeric,0.0,0.0,9.9195,2155,437,0.012,,,
mimiciv.icu.chartevents,224367,Epidural Total Dose (mL),Epidural Total Dose (mL),Pain/Sedation,mL,numeric,0.0,31.796,635.4303,2041,443,0.0122,,,
mimiciv.icu.chartevents,229333,Activity Intolerance NCP - Plan revised,AI NCP - Plan revised,Care Plans,,categorical,,,,2011,658,0.0181,,,
mimiciv.icu.chartevents,228521,Impaired Skin #4- Cleanse,Impaired Skin #4- Cleanse,Skin - Impairment,,categorical,,,,1990,635,0.0175,,,
mimiciv.icu.chartevents,227802,GI Guaiac QC,GI Guaiac QC,GI/GU,,numeric,0.0,1.0,1.0,1905,1061,0.0292,,,
mimiciv.icu.chartevents,227462,FK506,FK506,Labs,ng/mL,numeric,2.0546,6.6541,22.5212,1884,445,0.0122,,,
mimiciv.icu.chartevents,228784,Pressure ulcer #2- Cleanse,Pressure ulcer #2- Cleanse,Skin - Impairment,,categorical,,,,1877,641,0.0176,,,
mimiciv.icu.chartevents,228687,Code Status.,Code Status.,MD Progress Note,,categorical,,,,1832,634,0.0174,,,
mimiciv.icu.chartevents,228335,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,,numeric,0.0,1.0,1.0,1814,940,0.0259,,,
mimiciv.icu.chartevents,227115,PCA bolus units,PCA bolus units,Pain/Sedation,,categorical,,,,1805,494,0.0136,,,
mimiciv.icu.chartevents,228700,DVT Prophy,DVT Prophy,MD Progress Note,,categorical,,,,1805,620,0.0171,,,
