src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciii.LABEVENTS,51018,"Total Protein, CSF",,Chemistry,mg/dL,numeric,7.932,47.7361,911.3469,1227,867,0.0454,,,
mimiciii.LABEVENTS,51014,"Glucose, CSF",,Chemistry,mg/dL,numeric,2.7667,73.8095,186.3334,1200,855,0.0447,,,
mimiciii.LABEVENTS,51099,Protein/Creatinine Ratio,,Chemistry,Ratio,numeric,0.1,0.7717,32.6083,1198,944,0.0494,,,
mimiciii.LABEVENTS,51008,Valproic Acid,,Chemistry,ug/mL,mixed,4.32,45.1429,209.6468,1075,253,0.0132,,,
mimiciii.LABEVENTS,50854,Absolute A1c,,Chemistry,,categorical,0.45,0.45,0.45,984,913,0.0478,,,
mimiciii.LABEVENTS,50855,Absolute Hemoglobin,,Chemistry,,categorical,7.3,7.3,7.3,984,913,0.0478,,,
mimiciii.LABEVENTS,51103,Uhold,,Chemistry,,categorical,,,,901,875,0.0458,,,
mimiciii.LABEVENTS,51458,"WBC, Pleural",,Hematology,#/uL,numeric,0.0,367.0408,51849.7748,894,680,0.0356,,,
mimiciii.LABEVENTS,51446,Lymphocytes,,Hematology,%,numeric,0.0,21.5638,93.0175,893,680,0.0356,,,
mimiciii.LABEVENTS,51455,Polys,,Hematology,%,numeric,0.0,37.4337,99.0,893,680,0.0356,,,
mimiciii.LABEVENTS,51450,Monos,,Hematology,%,numeric,0.0,6.0,59.64,893,680,0.0356,,,
mimiciii.LABEVENTS,51059,"Total Protein, Pleural",,Chemistry,g/dL,numeric,0.4,2.232,5.9218,865,669,0.035,,,
mimiciii.LABEVENTS,51457,"RBC, Pleural",,Hematology,#/uL,numeric,0.0,2651.071,640450.3751,855,658,0.0344,,,
mimiciii.LABEVENTS,51054,"Lactate Dehydrogenase, Pleural",,Chemistry,IU/L,numeric,36.275,177.5266,6470.6275,855,656,0.0343,,,
mimiciii.LABEVENTS,50814,Methemoglobin,,Blood Gas,%,numeric,0.0,0.6,34.0,852,712,0.0373,,,
mimiciii.LABEVENTS,50805,Carboxyhemoglobin,,Blood Gas,%,numeric,0.0,1.0,7.0,819,726,0.038,,,
mimiciii.LABEVENTS,51120,Monocytes,,Hematology,%,numeric,0.0,9.25,82.23,808,451,0.0236,,,
mimiciii.LABEVENTS,51116,Lymphocytes,,Hematology,%,numeric,0.0,15.9167,92.34,808,451,0.0236,,,
mimiciii.LABEVENTS,51128,"WBC, Ascites",,Hematology,#/uL,numeric,0.0,148.3333,36225.4792,808,451,0.0236,,,
mimiciii.LABEVENTS,51125,Polys,,Hematology,%,numeric,0.0,25.6458,98.0,808,451,0.0236,,,
mimiciii.LABEVENTS,50994,Thyroxine (T4),,Chemistry,ug/dL,numeric,2.032,6.3014,17.3255,786,640,0.0335,,,
mimiciii.LABEVENTS,51127,"RBC, Ascites",,Hematology,#/uL,numeric,0.0,1023.6667,338880.5318,784,437,0.0229,,,
mimiciii.LABEVENTS,51053,"Glucose, Pleural",,Chemistry,mg/dL,numeric,0.0,120.8368,243.845,777,618,0.0323,,,
mimiciii.LABEVENTS,51497,Renal Epithelial Cells,,Hematology,#/hpf,categorical,0.0,2.0,88.0,691,662,0.0346,,,
mimiciii.LABEVENTS,50873,Anti-Nuclear Antibody,,Chemistry,,categorical,,,,666,611,0.032,,,
mimiciii.LABEVENTS,51518,WBC Clumps,,Hematology,,categorical,0.0,0.0,0.0,630,561,0.0294,,,
mimiciii.LABEVENTS,50975,Protein Electrophoresis,,Chemistry,,categorical,,,,628,596,0.0312,,,
mimiciii.LABEVENTS,50965,Parathyroid Hormone,,Chemistry,pg/mL,numeric,7.56,102.0185,1435.4935,619,518,0.0271,,,
mimiciii.LABEVENTS,50937,Hepatitis A Virus Antibody,,Chemistry,Pos/Neg,categorical,,,,609,582,0.0305,,,
mimiciii.LABEVENTS,51513,Urine Specimen Type,,Hematology,,categorical,,,,607,554,0.029,,,
mimiciii.LABEVENTS,50857,Acetone,,Chemistry,,categorical,331.0,331.0,331.0,606,470,0.0246,,,
mimiciii.LABEVENTS,51427,Lymphocytes,,Hematology,%,numeric,0.0,6.9136,83.7133,595,513,0.0268,,,
mimiciii.LABEVENTS,51431,Monos,,Hematology,%,numeric,0.0,4.1975,76.7133,595,513,0.0268,,,
mimiciii.LABEVENTS,51436,Polys,,Hematology,%,numeric,0.0,60.3951,99.7133,595,513,0.0268,,,
mimiciii.LABEVENTS,51001,Triiodothyronine (T3),,Chemistry,ng/dL,numeric,30.12,65.75,293.8003,585,460,0.0241,,,
mimiciii.LABEVENTS,51439,"WBC, Other Fluid",,Hematology,#/uL,numeric,0.0,10.6852,47383.3022,582,505,0.0264,,,
mimiciii.LABEVENTS,51076,"Bicarbonate, Urine",,Chemistry,mEq/L,mixed,5.0,16.5,149.72,555,446,0.0233,,,
mimiciii.LABEVENTS,51438,"RBC, Other Fluid",,Hematology,#/uL,numeric,0.0,0.0,2805300.8771,543,469,0.0245,,,
mimiciii.LABEVENTS,51292,Spherocytes,,Hematology,,categorical,,,,537,399,0.0209,,,
mimiciii.LABEVENTS,51269,Promyelocytes,,Hematology,%,numeric,0.0,1.0,10.0,536,343,0.0179,,,
mimiciii.LABEVENTS,50944,HIV Antibody,,Chemistry,,categorical,,,,535,514,0.0269,,,
mimiciii.LABEVENTS,51448,Mesothelial Cells,,Hematology,%,numeric,0.85,4.3281,52.3,535,453,0.0237,,,
mimiciii.LABEVENTS,50835,"Albumin, Ascites",,Chemistry,g/dL,mixed,0.344,1.4833,3.956,509,333,0.0174,,,
mimiciii.LABEVENTS,51118,Mesothelial Cell,,Hematology,%,numeric,1.0,4.0,41.55,495,295,0.0154,,,
mimiciii.LABEVENTS,51117,Macrophage,,Hematology,%,numeric,1.0,15.8776,90.62,488,297,0.0155,,,
mimiciii.LABEVENTS,51098,"Prot. Electrophoresis, Urine",,Chemistry,+/-,categorical,,,,479,446,0.0233,,,
mimiciii.LABEVENTS,51505,Uric Acid Crystals,,Hematology,,categorical,,,,478,422,0.0221,,,
mimiciii.LABEVENTS,51447,Macrophages,,Hematology,%,numeric,1.0,10.6939,85.38,477,404,0.0211,,,
mimiciii.LABEVENTS,50849,"Total Protein, Ascites",,Chemistry,g/dL,numeric,0.2,1.2786,5.964,470,310,0.0162,,,
mimiciii.LABEVENTS,50950,Immunoglobulin G,,Chemistry,mg/dL,numeric,210.21,964.4694,5576.626,461,427,0.0223,,,
mimiciii.LABEVENTS,50831,pH,,Blood Gas,units,numeric,6.6305,7.4551,8.5,458,385,0.0201,,,
mimiciii.LABEVENTS,50968,"Phenytoin, Free",,Chemistry,ug/mL,mixed,0.528,1.8722,3.8,457,195,0.0102,,,
mimiciii.LABEVENTS,51134,Acanthocytes,,Hematology,,categorical,,,,452,380,0.0199,,,
mimiciii.LABEVENTS,51046,"Albumin, Pleural",,Chemistry,g/dL,mixed,0.553,1.4875,3.041,449,370,0.0194,,,
mimiciii.LABEVENTS,51095,"Phosphate, Urine",,Chemistry,mg/dL,mixed,0.0,32.0,216.1081,388,340,0.0178,,,
