src_table,field_key,label,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.hosp.prescriptions,Alteplase (Catheter Clearance),Alteplase (Catheter Clearance),mg,numeric,1.0,1.0,2.0,5727,3032,0.0834,,,
mimiciv.hosp.prescriptions,Ramelteon,Ramelteon,mg,numeric,8.0,8.0,8.0,5685,4365,0.1201,,,
mimiciv.hosp.prescriptions,Lidocaine 1%,Lidocaine 1%,mL,numeric,1.0,2.0,27.8334,5622,3101,0.0853,,,
mimiciv.hosp.prescriptions,NiCARdipine IV,NiCARdipine IV,mg,numeric,40.0,40.0,125.0,5609,3740,0.1029,,,
mimiciv.hosp.prescriptions,Vasopressin,Vasopressin,UNIT,numeric,20.0,40.0,100.0,5565,3373,0.0928,,,
mimiciv.hosp.prescriptions,MetroNIDAZOLE,MetroNIDAZOLE,mg,numeric,500.0,500.0,500.0,5451,2976,0.0819,,,
mimiciv.hosp.prescriptions,PNEUMOcoccal 23-valent polysaccharide vaccine,PNEUMOcoccal 23-valent polysaccharide vaccine,mL,numeric,0.5,0.5,0.5,5447,3973,0.1093,,,
mimiciv.hosp.prescriptions,amLODIPine,amLODIPine,mg,numeric,2.5,5.0,10.0,5407,2875,0.0791,,,
mimiciv.hosp.prescriptions,Pneumococcal Vac Polyvalent,Pneumococcal Vac Polyvalent,mL,numeric,0.5,0.5,0.5,5352,4190,0.1153,,,
mimiciv.hosp.prescriptions,MetRONIDAZOLE (FLagyl),MetRONIDAZOLE (FLagyl),mg,numeric,500.0,500.0,500.0,5342,3124,0.086,,,
mimiciv.hosp.prescriptions,Syringe (0.9% Sodium Chloride),Syringe (0.9% Sodium Chloride),mL,numeric,1.1234,2.0,5.0702,5157,2767,0.0761,,,
mimiciv.hosp.prescriptions,Vitamin D,Vitamin D,UNIT,mixed,400.0,1000.0,5000.0,4870,3837,0.1056,,,
mimiciv.hosp.prescriptions,Ciprofloxacin IV,Ciprofloxacin IV,mg,numeric,200.0,400.0,400.0,4804,2512,0.0691,,,
mimiciv.hosp.prescriptions,Levofloxacin,Levofloxacin,mg,numeric,250.0,750.0,750.0,4750,2746,0.0756,,,
mimiciv.hosp.prescriptions,Ciprofloxacin HCl,Ciprofloxacin HCl,mg,numeric,250.0,500.0,750.0,4704,3255,0.0896,,,
