src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.icu.chartevents,229386,Cerebellar - Finger -> Nose,Cerebellar - Finger -> Nose,Neurological,,categorical,,,,27810,2317,0.0638,,,
mimiciv.icu.chartevents,228539,Pressure Ulcer #1- Treatment,Pressure Ulcer #1- Treatment,Skin - Impairment,,categorical,,,,27670,3094,0.0851,,,
mimiciv.icu.chartevents,224423,CT #2 Crepitus,CT #2 Crepitus,Pulmonary,,categorical,,,,27665,4785,0.1317,,,
mimiciv.icu.chartevents,227752,Cordis/Introducer Placement Confirmed by X-ray,Cordis/Introducer Placement Confirmed by X-ray,Access Lines - Invasive,,categorical,,,,27640,2578,0.0709,,,
mimiciv.icu.chartevents,224715,SBT Started,SBT Started,Respiratory,,categorical,,,,27470,8557,0.2355,,,
mimiciv.icu.chartevents,228309,GI #2 Tube Place Check,GI #2 Tube Place Check,GI/GU,,categorical,,,,27394,1908,0.0525,,,
mimiciv.icu.chartevents,229088,Altered Mental Status  NCP - Plan revised,AMS NCP - Plan revised,Care Plans,,categorical,,,,26892,5560,0.153,,,
mimiciv.icu.chartevents,228723,Pressure ulcer #1- Length,Pressure ulcer #1- Length,Skin - Impairment,cm,numeric,0.1226,2.004,13.1941,26745,1866,0.0513,,,
mimiciv.icu.chartevents,224390,Temporary Atrial Sens,Temp Atrial Sens,Cardiovascular (Pacer Data),,categorical,,,,26693,6018,0.1656,,,
mimiciv.icu.chartevents,229686,Warming Device,Warming Device,Treatments,,categorical,,,,26685,2260,0.0622,,,
mimiciv.icu.chartevents,227445,CK-MB,CK-MB,Labs,ng/mL,numeric,1.0,6.0,332.3042,26491,11175,0.3075,,,
mimiciv.icu.chartevents,228620,Pressure Ulcer #1- Width,Pressure Ulcer #1-  Width,Skin - Impairment,cm,numeric,0.0842,1.4997,10.6937,26364,1843,0.0507,,,
mimiciv.icu.chartevents,229110,Safety Restraints NCP - Plan revised,Safety Restraints NCP - Plan revised,Care Plans,,categorical,,,,26298,5473,0.1506,,,
mimiciv.icu.chartevents,224834,Temporary Ventricular Sens,Temp Ventricular Sens,Cardiovascular (Pacer Data),,categorical,,,,26091,6304,0.1735,,,
mimiciv.icu.chartevents,228854,Impaired Skin #2- Type,Impaired Skin #2- Type,Skin - Impairment,,categorical,,,,25696,2421,0.0666,,,
mimiciv.icu.chartevents,225091,Unable to assess activity / mobility,Unable to assess activity / mobility,Adm History/FHPA,,numeric,0.038,1.0,1.0,25677,10772,0.2964,,,
mimiciv.icu.chartevents,228577,Impaired Skin #2- Type,Impaired Skin #2- Type,Skin - Impairment,,categorical,,,,25394,2122,0.0584,,,
mimiciv.icu.chartevents,229344,Impaired Mobility NCP - Expected outcomes,IM NCP - Expected outcomes,Care Plans,,categorical,,,,25035,2181,0.06,,,
mimiciv.icu.chartevents,229098,Impaired Fluid Balance NCP - Plan revised,IFB NCP - Plan revised,Care Plans,,categorical,,,,24873,4540,0.1249,,,
mimiciv.icu.chartevents,224866,Temporary Atrial Capture,Temp Atrial Capture,Cardiovascular (Pacer Data),,categorical,,,,24830,5958,0.164,,,
mimiciv.icu.chartevents,224835,Temporary Ventricular Capture,Temp Ventricular Capture,Cardiovascular (Pacer Data),,categorical,,,,24609,6218,0.1711,,,
mimiciv.icu.chartevents,225129,Unable to assess teaching / learning needs,Unable to assess teaching / learning needs,Adm History/FHPA,,numeric,0.7865,1.0,1.0,24514,10584,0.2912,,,
mimiciv.icu.chartevents,220734,PH (dipstick),PH (dipstick),Labs,units,numeric,5.0,6.0,8.1847,24476,13736,0.378,,,
