src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.icu.chartevents,224762,LLE Sensation,LLE Sensation,Neurological,,categorical,,,,50632,7040,0.1937,,,
mimiciv.icu.chartevents,223962,Temporary Pacemaker Wires Venticular,Temp Pacemaker Wires Venticular,Cardiovascular (Pacer Data),,numeric,0.6874,2.0,3.0,50470,6190,0.1703,,,
mimiciv.icu.chartevents,224909,Impaired Skin Drainage Amount #2,Site Drainage Amount #2,Skin - Impairment,,categorical,,,,50418,4949,0.1362,,,
mimiciv.icu.chartevents,223923,Seizure Activity,Seizure Activity,Neurological,,categorical,,,,50210,3781,0.104,,,
mimiciv.icu.chartevents,224109,Cervical Collar Type,Cervical Collar Type,Treatments,,categorical,,,,49874,1874,0.0516,,,
mimiciv.icu.chartevents,228853,Impaired Skin #1- Type,Impaired Skin #1- Type,Skin - Impairment,,categorical,,,,49171,5228,0.1439,,,
mimiciv.icu.chartevents,224839,Temporary Pacemaker Wires Atrial,Temp Pacemaker Wires Atrial,Cardiovascular (Pacer Data),,numeric,0.0,2.0,2.0,48952,6018,0.1656,,,
mimiciv.icu.chartevents,224959,Impaired Skin Wound Base #3,Site/Wound Base #3,Skin - Impairment,,categorical,,,,48690,2262,0.0622,,,
mimiciv.icu.chartevents,224105,Warming Device,Warming Device,Treatments,,categorical,,,,48640,6412,0.1764,,,
mimiciv.icu.chartevents,229600,CAUTI Info Given,CAUTI Info Given,Restraint/Support Systems,,categorical,,,,48542,6502,0.1789,,,
mimiciv.icu.chartevents,225092,Self ADL,Self ADL,Adm History/FHPA,,numeric,0.0,1.0,1.0,48536,20815,0.5728,,,
mimiciv.icu.chartevents,225131,Teaching directed toward,Teaching directed toward,Adm History/FHPA,,categorical,,,,47530,13049,0.3591,,,
mimiciv.icu.chartevents,224562,Impaired Skin Length #1,Site Length #1,Skin - Impairment,cm,numeric,0.0,2.937,20.7406,47206,3246,0.0893,,,
mimiciv.icu.chartevents,224973,Surrounding Tissue #3,Surrounding Tissue #3,Skin - Impairment,,categorical,,,,47122,2587,0.0712,,,
mimiciv.icu.chartevents,225052,Cooling Device Status,Cooling Device Status,Treatments,,categorical,,,,46743,2710,0.0746,,,
mimiciv.icu.chartevents,229090,Altered Respiratory Status NCP - Plan revised,ARS NCP - Plan revised,Care Plans,,categorical,,,,46742,7832,0.2155,,,
mimiciv.icu.chartevents,224110,Cervical Collar Status,Cervical Collar Status,Treatments,,categorical,,,,46595,1868,0.0514,,,
mimiciv.icu.chartevents,225094,History of slips / falls,History of slips / falls,Adm History/FHPA,,numeric,0.0,0.0,1.0,46577,20086,0.5527,,,
mimiciv.icu.chartevents,228600,Impaired Skin #1- Dressing Status,Impaired Skin #1- Dressing Status,Skin - Impairment,,categorical,,,,45933,7364,0.2026,,,
mimiciv.icu.chartevents,225106,ETOH,ETOH,Adm History/FHPA,,numeric,0.0,0.0,1.0,45772,19510,0.5369,,,
mimiciv.icu.chartevents,225097,Balance,Balance,Adm History/FHPA,,categorical,,,,45634,19652,0.5408,,,
mimiciv.icu.chartevents,225099,Judgement,Judgement,Adm History/FHPA,,categorical,,,,45523,19669,0.5412,,,
mimiciv.icu.chartevents,224438,Chest Tube Site # 2,Chest Tube Site # 2,Pulmonary,,categorical,,,,45361,5984,0.1647,,,
mimiciv.icu.chartevents,229538,PICC - Heparin Dependent,PICC - Heparin Dependent,Access Lines - Invasive,,numeric,0.0,0.0,1.0,45016,2234,0.0615,,,
mimiciv.icu.chartevents,220245,CO2 production,CO2 production,Respiratory,ml/min,numeric,44.6523,190.5612,415.1699,44705,4932,0.1357,,,
mimiciv.icu.chartevents,228733,Pressure ulcer #1- Wound Base,Pressure ulcer #1- Wound Base,Skin - Impairment,,categorical,,,,44508,2394,0.0659,,,
mimiciv.icu.chartevents,224846,Impaired Skin Width #1,Site Width #1,Skin - Impairment,cm,numeric,0.0,1.9915,13.7007,44434,3053,0.084,,,
