src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.hosp.labevents,50960,Magnesium,,Chemistry,mg/dL,numeric,1.3995,2.0779,3.2052,495420,36171,0.9953,,,
mimiciv.hosp.labevents,51249,MCHC,,Hematology,g/dL,numeric,28.7053,32.6884,36.5619,475892,36201,0.9962,,,
mimiciv.hosp.labevents,51279,Red Blood Cells,,Hematology,m/uL,numeric,2.0403,3.1714,5.2275,475843,36201,0.9962,,,
mimiciv.hosp.labevents,51248,MCH,,Hematology,pg,numeric,22.5615,30.119,36.4162,475842,36201,0.9962,,,
mimiciv.hosp.labevents,51250,MCV,,Hematology,fL,numeric,74.1567,91.9966,111.0084,475842,36201,0.9962,,,
mimiciv.hosp.labevents,51277,RDW,,Hematology,%,numeric,11.9942,15.2017,24.9771,475837,36201,0.9962,,,
mimiciv.hosp.labevents,50970,Phosphate,,Chemistry,mg/dL,numeric,1.4135,3.3999,8.5122,454585,35553,0.9783,,,
mimiciv.hosp.labevents,52033,Specimen Type,,Blood Gas,,categorical,,,,348389,27361,0.7529,,,
mimiciv.hosp.labevents,51678,L,,Chemistry,U,numeric,1.9969,9.0,124.3752,317216,16803,0.4624,,,
mimiciv.hosp.labevents,50934,H,,Chemistry,U,numeric,0.0,5.6267,154.9792,317213,16802,0.4624,,,
mimiciv.hosp.labevents,50947,I,,Chemistry,U,numeric,0.0,1.0,34.9187,317206,16802,0.4624,,,
mimiciv.hosp.labevents,52172,RDW-SD,,Hematology,fL,numeric,38.281,50.5533,88.3149,284090,19240,0.5294,,,
mimiciv.hosp.labevents,50861,Alanine Aminotransferase (ALT),,Chemistry,IU/L,numeric,5.989,36.5511,2939.2804,148458,24866,0.6843,,,
mimiciv.hosp.labevents,50878,Asparate Aminotransferase (AST),,Chemistry,IU/L,numeric,9.6062,45.0132,4032.1997,148369,24859,0.6841,,,
mimiciv.hosp.labevents,50863,Alkaline Phosphatase,,Chemistry,IU/L,numeric,32.4105,103.2603,825.1698,145230,24556,0.6757,,,
mimiciv.hosp.labevents,50817,Oxygen Saturation,,Blood Gas,%,numeric,40.2065,94.5805,99.0,103057,15308,0.4212,,,
mimiciv.hosp.labevents,50954,Lactate Dehydrogenase (LD),,Chemistry,IU/L,numeric,117.2298,302.7552,5731.1245,79762,19007,0.523,,,
mimiciv.hosp.labevents,50812,Intubated,,Blood Gas,,categorical,,,,78084,19057,0.5244,,,
