src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciii.CHARTEVENTS,564,PressSoreCleansing#1,,,,categorical,,,,10492,1124,0.0588,,,
mimiciii.CHARTEVENTS,8407,ImpSkin #2 [Amount],,,,categorical,,,,10488,1227,0.0642,,,
mimiciii.CHARTEVENTS,1063,bath,,,,categorical,1100.0,1100.0,1100.0,10467,2020,0.1057,,,
mimiciii.CHARTEVENTS,220635,Magnesium,Magnesium,Labs,mg/dL,numeric,1.3855,2.1,3.2808,10387,1588,0.0831,,,
mimiciii.CHARTEVENTS,609,Remote Alarm,,,,categorical,,,,10380,1752,0.0917,,,
mimiciii.CHARTEVENTS,855,Vancomycin/Random,,Drug Level,,numeric,3.1158,16.1988,44.852,10287,2784,0.1457,,,
mimiciii.CHARTEVENTS,419,KneeImmobilizeLoc [Right],,,,categorical,,,,10100,1116,0.0584,,,
mimiciii.CHARTEVENTS,227457,Platelet Count,Platelet Count,Labs,K/uL,numeric,23.6082,205.2281,684.7899,10044,1653,0.0865,,,
mimiciii.CHARTEVENTS,227073,Anion gap,Anion gap,Labs,mEq/L,numeric,6.9522,13.0,24.3755,10037,1634,0.0855,,,
mimiciii.CHARTEVENTS,8424,Inc #3 [Amount],,,,categorical,,,,9921,1336,0.0699,,,
mimiciii.CHARTEVENTS,1480,IV #2 Reason DC'D,,,,categorical,,,,9883,5885,0.3079,,,
mimiciii.CHARTEVENTS,220228,Hemoglobin,Hemoglobin,Labs,g/dl,numeric,6.8405,9.9462,15.3566,9822,1652,0.0864,,,
mimiciii.CHARTEVENTS,220546,WBC,WBC,Labs,K/uL,numeric,3.134,11.1318,30.0393,9779,1652,0.0864,,,
mimiciii.CHARTEVENTS,368,ImpSkin #1 [Width],,,,categorical,,,,9330,2072,0.1084,,,
mimiciii.CHARTEVENTS,225677,Phosphorous,Phosphorous,Labs,mg/dL,numeric,1.2437,3.2893,7.602,9139,1498,0.0784,,,
mimiciii.CHARTEVENTS,1517,Readmit <48 hrs,,,,categorical,,,,9058,6336,0.3315,,,
mimiciii.CHARTEVENTS,795,Differential-Bands,,Hematology,,numeric,0.0,1.0,39.7263,9032,4607,0.2411,,,
mimiciii.CHARTEVENTS,225625,Calcium non-ionized,Calcium non-ionized,Labs,mg/dL,numeric,6.6642,8.3998,10.7038,9009,1488,0.0779,,,
