src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.icu.chartevents,223760,Health Care Proxy,Health Care Proxy,General,,categorical,,,,9186,4145,0.1141,,,
mimiciv.icu.chartevents,225737,Arterial Line Discontinued,Arterial Line Discontinued,Access Lines - Invasive,,categorical,,,,9043,8019,0.2207,,,
mimiciv.icu.chartevents,223759,Precautions: Standard +,Precautions: Standard +,General,,categorical,,,,8962,3606,0.0992,,,
mimiciv.icu.chartevents,227455,Vancomycin (Trough),Vancomycin (Trough),Labs,ug/mL,numeric,3.6636,16.6322,39.3849,8772,4499,0.1238,,,
mimiciv.icu.chartevents,227810,ETT Re-taped,ETT Re-taped,Respiratory,,numeric,0.0,1.0,1.0,8701,4708,0.1296,,,
mimiciv.icu.chartevents,228137,CHG Bath,CHG Bath,Treatments,,numeric,0.0,1.0,1.0,8542,2595,0.0714,,,
mimiciv.icu.chartevents,225085,Post menopausal,Post menopausal,Adm History/FHPA,,numeric,1.0,1.0,1.0,8494,3641,0.1002,,,
mimiciv.icu.chartevents,225082,Pregnant,Pregnant,Adm History/FHPA,,numeric,0.0,0.0,1.0,8489,3746,0.1031,,,
mimiciv.icu.chartevents,223940,Femoral Pulse R,Femoral Pulse R,Cardiovascular (Pulses),,categorical,,,,8408,2136,0.0588,,,
mimiciv.icu.chartevents,227454,Vancomycin (Random),Vancomycin (Random),Labs,ug/mL,numeric,4.1058,16.8255,42.6011,8323,4375,0.1204,,,
mimiciv.icu.chartevents,220581,Amylase,Amylase,Labs,IU/L,numeric,9.3784,65.7555,985.9869,8315,3624,0.0997,,,
mimiciv.icu.chartevents,225637,Differential-Atyps,Differential-Atyps,Labs,%,numeric,0.0,0.0,5.565,8150,4091,0.1126,,,
mimiciv.icu.chartevents,228773,Pressure ulcer #1- Odor,Pressure ulcer #1- Odor,Skin - Impairment,,numeric,0.0,0.0,1.0,8037,2167,0.0596,,,
mimiciv.icu.chartevents,223939,Brachial Pulse R,Brachial Pulse R,Cardiovascular (Pulses),,categorical,,,,7993,2336,0.0643,,,
mimiciv.icu.chartevents,223944,Brachial Pulse L,Brachial Pulse L,Cardiovascular (Pulses),,categorical,,,,7916,2264,0.0623,,,
mimiciv.icu.chartevents,228229,PAR-Activity,PAR-Activity,Routine Vital Signs,,numeric,0.0,1.4476,2.0,7762,2992,0.0823,,,
mimiciv.icu.chartevents,229350,Impaired Mobility NCP - Plan revised,IM NCP - Plan revised,Care Plans,,categorical,,,,7759,2128,0.0586,,,
mimiciv.icu.chartevents,228234,PAR-Respiration,PAR-Respiration,Routine Vital Signs,,numeric,0.0,0.32,2.0,7755,2987,0.0822,,,
mimiciv.icu.chartevents,228231,PAR-Consciousness,PAR-Consciousness,Routine Vital Signs,,numeric,0.0,1.0,2.0,7749,2981,0.082,,,
mimiciv.icu.chartevents,229742,Activity / Mobility (RN Daily Mobility Goal),RN Daily Mobility Goal,Treatments,,numeric,2.0,2.0,8.0,7739,2745,0.0755,,,
mimiciv.icu.chartevents,228230,PAR-Circulation,PAR-Circulation,Routine Vital Signs,,numeric,0.0,2.0,2.0,7736,2977,0.0819,,,
mimiciv.icu.chartevents,228232,PAR-Oxygen saturation,PAR-Oxygen saturation,Routine Vital Signs,,numeric,0.0,1.0,2.0,7595,2931,0.0807,,,
mimiciv.icu.chartevents,226185,ICU Consent Signed,ICU Consent Signed,General,,numeric,0.0,1.0,1.0,7486,7486,0.206,,,
mimiciv.icu.chartevents,225233,18 Gauge Reason Discontinued,18 Gauge Reason Discontinued,Access Lines - Peripheral,,categorical,,,,7377,5992,0.1649,,,
mimiciv.icu.chartevents,228519,Impaired Skin #2- Cleanse,Impaired Skin #2- Cleanse,Skin - Impairment,,categorical,,,,7082,2376,0.0654,,,
mimiciv.icu.chartevents,225628,CK-MB fraction (%),CK-MB fraction (%),Labs,%,numeric,0.2,4.252,21.949,6966,3025,0.0832,,,
mimiciv.icu.chartevents,227801,Stool Guaiac QC,Stool Guaiac QC,GI/GU,,numeric,0.0435,1.0,1.0,6868,3436,0.0946,,,
mimiciv.icu.chartevents,229349,Impaired Mobility NCP - Problem resolved,IM NCP - Problem resolved,Care Plans,,categorical,,,,6817,2089,0.0575,,,
mimiciv.icu.chartevents,228714,Bladder scanned,Bladder scanned,GI/GU,,categorical,,,,6732,2148,0.0591,,,
mimiciv.icu.chartevents,223945,Femoral Pulse L,Femoral Pulse L,Cardiovascular (Pulses),,categorical,,,,6509,1896,0.0522,,,
mimiciv.icu.chartevents,228783,Pressure ulcer #1- Cleanse,Pressure ulcer #1- Cleanse,Skin - Impairment,,categorical,,,,6462,1927,0.053,,,
mimiciv.icu.chartevents,224006,Emesis Appearance,Emesis Appearance,GI/GU,,categorical,,,,5919,3061,0.0842,,,
mimiciv.icu.chartevents,228566,Incision #2- Cleanse,Incision #2- Cleanse,Skin - Incisions,,categorical,,,,5883,2062,0.0567,,,
mimiciv.icu.chartevents,225651,Direct Bilirubin,Direct Bilirubin,Labs,mg/dL,numeric,0.1,2.0726,27.7199,5820,2719,0.0748,,,
mimiciv.icu.chartevents,225358,PA Catheter Zero/Calibrate,PA Catheter Zero/Calibrate,Access Lines - Invasive,,numeric,0.0,1.0,1.0,5801,1828,0.0503,,,
mimiciv.icu.chartevents,226889,Legal Guardian,Legal Guardian,General,,numeric,0.0,0.0,1.0,5610,2337,0.0643,,,
mimiciv.icu.chartevents,229324,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,,numeric,0.0,1.0,1.0,5445,2503,0.0689,,,
mimiciv.icu.chartevents,229865,No Pressure Injury Present,No Pressure Injury Present,Skin - Assessment,,numeric,1.0,1.0,1.0,4787,4470,0.123,,,
mimiciv.icu.chartevents,225722,Arterial Line Tip Cultured,Arterial Line Tip Cultured,Access Lines - Invasive,,numeric,0.0,0.0,1.0,4779,2188,0.0602,,,
mimiciv.icu.chartevents,228233,PAR-Remain sedated,PAR-Remain sedated,Routine Vital Signs,,numeric,0.0,1.0,1.0,4566,2183,0.0601,,,
mimiciv.icu.chartevents,227585,GI Guaiac,GI Guaiac,GI/GU,,categorical,,,,4404,2211,0.0608,,,
mimiciv.icu.chartevents,227516,PO2 (Mixed Venous),PO2 (Mixed Venous),Labs,mmHg,numeric,25.4508,40.2202,197.0491,4253,2320,0.0638,,,
mimiciv.icu.chartevents,225744,Multi Lumen Line Discontinued,Multi Lumen Line Discontinued,Access Lines - Invasive,,categorical,,,,4227,3448,0.0949,,,
mimiciv.icu.chartevents,220603,Cholesterol,Cholesterol,Labs,mg/dL,numeric,51.7079,149.5782,323.7879,3701,3525,0.097,,,
mimiciv.icu.chartevents,224025,Spiritual Support,Spiritual Support,Restraint/Support Systems,,categorical,,,,3671,2706,0.0745,,,
mimiciv.icu.chartevents,220624,HDL,HDL,Labs,mg/dL,numeric,10.0,43.2474,95.4141,3536,3399,0.0935,,,
mimiciv.icu.chartevents,225671,LDL calculated,LDL calculated,Labs,mg/dL,numeric,12.8064,79.0193,202.7307,3335,3230,0.0889,,,
mimiciv.icu.chartevents,227463,Cortisol,Cortisol,Labs,ug/dL,numeric,1.3418,20.8524,160.4838,3020,1944,0.0535,,,
mimiciv.icu.chartevents,226473,Blood Transfusion Consent,Blood Transfusion Consent,General,,numeric,0.0,1.0,1.0,2885,2885,0.0794,,,
mimiciv.icu.chartevents,224121,22 Gauge Reason Discontinued,22 Gauge Reason Discontinued,Access Lines - Peripheral,,categorical,,,,2703,2367,0.0651,,,
mimiciv.icu.chartevents,225236,16 Gauge Reason Discontinued,16 Gauge Reason Discontinued,Access Lines - Peripheral,,categorical,,,,2636,2342,0.0644,,,
mimiciv.icu.chartevents,227446,Brain Natiuretic Peptide (BNP),Brain Natiuretic Peptide (BNP),Labs,pg/mL,numeric,24.719,3070.2826,58670.3618,2192,1913,0.0526,,,
