src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
eicu.lab,RBC,RBC,,,M/mcL,numeric,2.1013,3.4452,5.4934,796295,108309,0.9823,,,
eicu.lab,MCV,MCV,,,fL,numeric,71.5968,90.2449,107.7318,777310,105371,0.9557,,,
eicu.lab,MCHC,MCHC,,,g/dL,numeric,28.9306,32.9789,36.0306,776967,105366,0.9556,,,
eicu.lab,MCH,MCH,,,pg,numeric,22.0838,29.8448,35.9007,742184,100062,0.9075,,,
eicu.lab,RDW,RDW,,,%,numeric,12.1876,15.1877,24.8535,740729,102216,0.9271,,,
eicu.lab,MPV,MPV,,,fL,numeric,6.7027,9.7319,12.9833,530081,72553,0.658,,,
eicu.lab,magnesium,magnesium,,,mg/dL,numeric,1.1703,1.9997,3.1562,466661,85597,0.7763,,,
eicu.lab,-lymphs,-lymphs,,,%,numeric,0.9999,11.2622,50.5874,441455,88243,0.8003,,,
eicu.lab,-monos,-monos,,,%,numeric,0.704,7.6031,19.5925,438053,87548,0.794,,,
eicu.lab,-eos,-eos,,,%,numeric,0.0,1.0,10.5117,409984,87289,0.7917,,,
eicu.lab,-basos,-basos,,,%,numeric,0.0,0.0368,1.9639,392183,85067,0.7715,,,
eicu.lab,-polys,-polys,,,%,numeric,15.8337,76.8981,95.8455,390987,80058,0.7261,,,
eicu.lab,phosphate,phosphate,,,mg/dL,numeric,1.1001,3.1997,8.5789,307142,60248,0.5464,,,
eicu.lab,AST (SGOT),AST (SGOT),,,Units/L,numeric,7.9908,31.3706,2294.6243,306669,86982,0.7889,,,
eicu.lab,ALT (SGPT),ALT (SGPT),,,Units/L,numeric,6.2226,28.9845,1782.6067,304916,86504,0.7846,,,
eicu.lab,total protein,total protein,,,g/dL,numeric,3.6802,5.9893,8.6301,303629,86062,0.7806,,,
eicu.lab,alkaline phos.,alkaline phos.,,,Units/L,numeric,30.8721,86.3236,603.8065,303220,85780,0.778,,,
eicu.lab,FiO2,FiO2,,,%,numeric,0.2915,40.4836,100.0,278442,58390,0.5296,,,
eicu.lab,O2 Sat (%),O2 Sat (%),,,%,numeric,59.8722,97.0,100.0,263112,50646,0.4593,,,
eicu.lab,troponin - I,troponin - I,,,ng/mL,mixed,0.0008,0.1795,87.2727,139452,48878,0.4433,,,
eicu.lab,ionized calcium,ionized calcium,,,mg/dL,numeric,0.2516,4.4619,5.9337,115913,28122,0.2551,,,
eicu.lab,Temperature,Temperature,,,&#176;C,mixed,33.7327,37.0,99.9595,89756,19547,0.1773,,,
eicu.lab,Methemoglobin,Methemoglobin,,,%,numeric,0.0,0.4,2.1401,81439,18163,0.1647,,,
eicu.lab,Carboxyhemoglobin,Carboxyhemoglobin,,,%,numeric,0.0,0.9994,4.1684,80148,18466,0.1675,,,
eicu.lab,CPK,CPK,,,Units/L,numeric,13.6406,159.0656,25066.2151,78079,33841,0.3069,,,
eicu.lab,urinary specific gravity,urinary specific gravity,,,,numeric,1.0035,1.0156,1.046,77574,56030,0.5082,,,
eicu.lab,TV,TV,,,mls,mixed,219.1683,500.0,780.8053,76097,16288,0.1477,,,
eicu.lab,direct bilirubin,direct bilirubin,,,mg/dL,mixed,0.0,0.3013,17.7435,56325,26920,0.2442,,,
eicu.lab,Base Deficit,Base Deficit,,,mEq/L,numeric,0.0,3.7029,21.7074,53951,13652,0.1238,,,
eicu.lab,O2 Content,O2 Content,,,mls/dL,numeric,7.6263,14.5395,97.851,52361,10707,0.0971,,,
eicu.lab,CPK-MB,CPK-MB,,,ng/mL,numeric,0.5016,4.581,353.062,47760,20804,0.1887,,,
eicu.lab,Vent Rate,Vent Rate,,,/min,numeric,5.4801,16.0,436.7647,45578,10705,0.0971,,,
eicu.lab,triglycerides,triglycerides,,,mg/dL,numeric,34.2965,119.2926,1036.0263,38571,27489,0.2493,,,
eicu.lab,Respiratory Rate,Respiratory Rate,,,/min,numeric,6.2699,18.0,38.7102,37222,11704,0.1062,,,
eicu.lab,BNP,BNP,,,pg/mL,numeric,15.0803,573.3447,36111.2656,34765,22503,0.2041,,,
eicu.lab,TSH,TSH,,,mcU/ml,numeric,0.0375,1.6781,40.5214,31876,28172,0.2555,,,
eicu.lab,lipase,lipase,,,Units/L,numeric,4.8158,83.2638,6692.2399,30629,20790,0.1886,,,
eicu.lab,fibrinogen,fibrinogen,,,mg/dL,numeric,67.4447,282.8996,862.9118,30440,12915,0.1171,,,
