src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciii.CHARTEVENTS,742,calprevflg,,,kg,numeric,1.0,1.0,1.0,2462001,18815,0.9845,,,
mimiciii.CHARTEVENTS,212,Heart Rhythm,,,,categorical,,,,2348171,18815,0.9845,,,
mimiciii.CHARTEVENTS,161,Ectopy Type,,,,categorical,,,,2299521,18813,0.9844,,,
mimiciii.CHARTEVENTS,128,Code Status,,,,categorical,,,,2286550,18289,0.9569,,,
mimiciii.CHARTEVENTS,550,Precautions,,,,categorical,,,,2275816,18165,0.9504,,,
mimiciii.CHARTEVENTS,1125,Service Type,,,,categorical,,,,2082531,17165,0.8981,,,
mimiciii.CHARTEVENTS,159,Ectopy Frequency,,,,categorical,,,,1786561,18668,0.9768,,,
mimiciii.CHARTEVENTS,1484,Risk for Falls,,,,categorical,,,,1567335,12818,0.6707,,,
mimiciii.CHARTEVENTS,52,Arterial BP Mean,,,mmHg,numeric,49.7153,79.0756,131.5674,1561213,12803,0.6699,,,
mimiciii.CHARTEVENTS,5815,HR Alarm [Low],,,BPM,numeric,39.9979,55.6289,70.4995,1214521,11641,0.6091,,,
mimiciii.CHARTEVENTS,8549,HR Alarm [High],,,BPM,numeric,99.9909,120.0,159.9742,1213020,11641,0.6091,,,
mimiciii.CHARTEVENTS,5820,SpO2 Alarm [Low],,,%,numeric,75.5133,90.0,93.9969,1212293,11630,0.6085,,,
mimiciii.CHARTEVENTS,8554,SpO2 Alarm [High],,,%,numeric,57.0537,100.0,100.0,1207596,11618,0.6079,,,
mimiciii.CHARTEVENTS,5819,Resp Alarm [Low],,,BPM,numeric,5.2934,8.0,31.1,1190376,11519,0.6027,,,
mimiciii.CHARTEVENTS,8553,Resp Alarm [High],,,BPM,numeric,25.1922,35.0,53.04,1188643,11504,0.6019,,,
mimiciii.CHARTEVENTS,581,Previous WeightF,,,kg,numeric,43.2429,82.3012,162.7503,1169677,13662,0.7148,,,
mimiciii.CHARTEVENTS,456,NBP Mean,,,mmHg,numeric,47.1444,76.3734,119.7659,1033353,18304,0.9577,,,
mimiciii.CHARTEVENTS,5817,NBP Alarm [Low],,,mmHg,numeric,54.9811,90.0,141.2794,899627,10491,0.5489,,,
mimiciii.CHARTEVENTS,8551,NBP Alarm [High],,,mmHg,numeric,90.0,160.0,194.7407,897150,10445,0.5465,,,
mimiciii.CHARTEVENTS,113,CVP,,,mmHg,numeric,0.9995,11.0,27.8443,879042,9136,0.478,,,
mimiciii.CHARTEVENTS,1703,Health Care Proxy,,,,categorical,,,,814248,6688,0.3499,,,
mimiciii.CHARTEVENTS,1337,Riker-SAS Scale,,,,categorical,,,,766018,16447,0.8606,,,
mimiciii.CHARTEVENTS,674,Temp. Site,,,,categorical,,,,763488,18810,0.9842,,,
mimiciii.CHARTEVENTS,432,Level of Conscious,,,,categorical,,,,743729,18811,0.9843,,,
mimiciii.CHARTEVENTS,5813,ABP Alarm [Low],,,mmHg,numeric,49.987,90.0,145.1633,711270,7111,0.3721,,,
mimiciii.CHARTEVENTS,31,Activity,,,,categorical,,,,708512,18781,0.9827,,,
mimiciii.CHARTEVENTS,8547,ABP Alarm [High],,,mmHg,numeric,89.9882,160.0,200.4677,706899,6855,0.3587,,,
mimiciii.CHARTEVENTS,184,Eye Opening,,,,numeric,1.0,4.0,4.0,690169,18810,0.9842,,,
mimiciii.CHARTEVENTS,723,Verbal Response,,,,numeric,1.0,1.1829,5.0,688803,18808,0.9841,,,
mimiciii.CHARTEVENTS,454,Motor Response,,,,numeric,1.0,6.0,6.0,687159,18809,0.9841,,,
mimiciii.CHARTEVENTS,617,Respiratory Pattern,,,,categorical,,,,687018,18809,0.9841,,,
mimiciii.CHARTEVENTS,637,Side Rails,,,,categorical,,,,684163,18284,0.9567,,,
mimiciii.CHARTEVENTS,198,GCS Total,,,points,numeric,3.0,11.0,15.0,683960,18807,0.984,,,
mimiciii.CHARTEVENTS,210,HOB,,,,categorical,,,,677097,18783,0.9828,,,
mimiciii.CHARTEVENTS,707,Urine Source,,,,categorical,,,,670598,18798,0.9836,,,
mimiciii.CHARTEVENTS,704,Turn,,,,categorical,,,,661035,18789,0.9831,,,
mimiciii.CHARTEVENTS,479,Orientation,,,,categorical,3.0,4.0,5.0,660638,18806,0.984,,,
mimiciii.CHARTEVENTS,54,Assistance Device,,,,categorical,,,,629022,18710,0.979,,,
mimiciii.CHARTEVENTS,32,Activity Tolerance,,,,categorical,,,,619605,18692,0.978,,,
mimiciii.CHARTEVENTS,547,Position,,,,categorical,,,,602653,18505,0.9682,,,
mimiciii.CHARTEVENTS,154,Diet Type,,,,categorical,,,,575693,16148,0.8449,,,
mimiciii.CHARTEVENTS,1046,Pain Present,,,,categorical,,,,561627,18275,0.9562,,,
mimiciii.CHARTEVENTS,599,RUL Lung Sounds,,,,categorical,,,,557356,18807,0.984,,,
mimiciii.CHARTEVENTS,428,LUL Lung Sounds,,,,categorical,,,,557029,18808,0.9841,,,
mimiciii.CHARTEVENTS,593,RLL Lung Sounds,,,,categorical,,,,555398,18807,0.984,,,
mimiciii.CHARTEVENTS,425,LLL Lung Sounds,,,,categorical,,,,555030,18808,0.9841,,,
mimiciii.CHARTEVENTS,663,Support Systems,,,,categorical,,,,553450,17966,0.94,,,
mimiciii.CHARTEVENTS,478,Oral Cavity,,,,categorical,,,,548114,18806,0.984,,,
mimiciii.CHARTEVENTS,677,Temperature C (calc),,,Deg. C,numeric,35.0841,37.0539,39.2464,542931,18431,0.9644,,,
mimiciii.CHARTEVENTS,706,Urine [Color],,,,categorical,,,,524805,18651,0.9759,,,
mimiciii.CHARTEVENTS,27,Abdominal Assessment,,,,categorical,,,,521852,18803,0.9838,,,
mimiciii.CHARTEVENTS,8480,Urine [Appearance],,,,categorical,,,,519087,18596,0.973,,,
mimiciii.CHARTEVENTS,680,Therapeutic Bed,,,,categorical,,,,508871,13096,0.6852,,,
mimiciii.CHARTEVENTS,80,Bowel Sounds,,,,categorical,,,,498688,18796,0.9835,,,
mimiciii.CHARTEVENTS,621,Restraint Location,,,,categorical,,,,493565,16588,0.8679,,,
mimiciii.CHARTEVENTS,5814,CVP Alarm [Low],,,mmHg,numeric,0.0,0.0,9.9964,469448,5351,0.28,,,
mimiciii.CHARTEVENTS,8548,CVP Alarm [High],,,mmHg,numeric,10.0,20.0,39.9461,465285,4962,0.2596,,,
mimiciii.CHARTEVENTS,49,Anti-Embolism [Device],,,,categorical,,,,462032,14957,0.7826,,,
mimiciii.CHARTEVENTS,8367,Anti-Embolism [Status],,,,categorical,,,,438796,12857,0.6727,,,
mimiciii.CHARTEVENTS,644,Skin Integrity,,,,categorical,,,,421554,18794,0.9834,,,
mimiciii.CHARTEVENTS,156,Dorsal PedPulse [Right],,,,categorical,,,,419915,18474,0.9666,,,
mimiciii.CHARTEVENTS,8381,Dorsal PedPulse [Left],,,,categorical,,,,415433,18443,0.965,,,
mimiciii.CHARTEVENTS,1087,Pain Assess Method,,,,categorical,,,,410999,16608,0.869,,,
mimiciii.CHARTEVENTS,190,FiO2 Set,,,torr,numeric,0.3,0.5,1.0,410870,11856,0.6203,,,
mimiciii.CHARTEVENTS,492,PAP [Systolic],,,mmHg,numeric,17.62,38.8815,78.6677,394098,5311,0.2779,,,
mimiciii.CHARTEVENTS,8448,PAP [Diastolic],,,mmHg,numeric,6.0356,20.0,38.8915,389331,5283,0.2764,,,
mimiciii.CHARTEVENTS,525,Pain Location,,,,categorical,,,,385139,18119,0.948,,,
mimiciii.CHARTEVENTS,1622,Alarms,,,,categorical,,,,375224,13444,0.7034,,,
mimiciii.CHARTEVENTS,40,Airway Type,,,,categorical,,,,365481,10940,0.5724,,,
mimiciii.CHARTEVENTS,605,Reason For Restraint,,,,categorical,,,,362571,11833,0.6191,,,
mimiciii.CHARTEVENTS,197,Follows Commands,,,,categorical,,,,360876,6968,0.3646,,,
mimiciii.CHARTEVENTS,622,Restraint Type,,,,categorical,,,,359225,11658,0.61,,,
mimiciii.CHARTEVENTS,585,Pupil Size [Right],,,,categorical,,,,358360,10973,0.5741,,,
