src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.icu.chartevents,224771,RLE Temp,RLE Temp,Cardiovascular,,categorical,,,,495658,33709,0.9276,,,
mimiciv.icu.chartevents,224773,LLE Temp,LLE Temp,Cardiovascular,,categorical,,,,491394,33693,0.9272,,,
mimiciv.icu.chartevents,224767,RUE Temp,RUE Temp,Cardiovascular,,categorical,,,,488493,33537,0.9229,,,
mimiciv.icu.chartevents,224769,LUE Temp,LUE Temp,Cardiovascular,,categorical,,,,486789,33520,0.9224,,,
mimiciv.icu.chartevents,227946,Restraint Ordered (Non-violent),Restraint Ordered (Non-violent),Restraint/Support Systems,,categorical,,,,486787,17630,0.4851,,,
mimiciv.icu.chartevents,223979,RLE Color,RLE Color,Cardiovascular,,categorical,,,,486245,33597,0.9245,,,
mimiciv.icu.chartevents,223983,LLE Color,LLE Color,Cardiovascular,,categorical,,,,482266,33582,0.9241,,,
mimiciv.icu.chartevents,224651,Ectopy Frequency 1,Ectopy Frequency 1,Routine Vital Signs,,categorical,,,,481435,22546,0.6204,,,
mimiciv.icu.chartevents,224054,Braden Sensory Perception,Braden Sensory Perception,Skin - Assessment,,numeric,1.0,3.0,4.0,481186,36302,0.999,,,
mimiciv.icu.chartevents,224055,Braden Moisture,Braden Moisture,Skin - Assessment,,numeric,1.5439,3.0,4.0,480908,36302,0.999,,,
mimiciv.icu.chartevents,224056,Braden Activity,Braden Activity,Skin - Assessment,,numeric,1.0,1.0,4.0,480645,36302,0.999,,,
mimiciv.icu.chartevents,224057,Braden Mobility,Braden Mobility,Skin - Assessment,,numeric,1.0,2.4313,4.0,480613,36302,0.999,,,
mimiciv.icu.chartevents,224058,Braden Nutrition,Braden Nutrition,Skin - Assessment,,numeric,1.0,2.0,4.0,480406,36302,0.999,,,
mimiciv.icu.chartevents,223976,RUE Color,RUE Color,Cardiovascular,,categorical,,,,480218,33444,0.9203,,,
mimiciv.icu.chartevents,224059,Braden Friction/Shear,Braden Friction/Shear,Skin - Assessment,,numeric,1.0,2.0,3.0,478929,36299,0.9989,,,
mimiciv.icu.chartevents,223982,LUE Color,LUE Color,Cardiovascular,,categorical,,,,478518,33422,0.9197,,,
mimiciv.icu.chartevents,228902,Altered Respiratory Status NCP - Expected outcomes,ARS NCP - Expected outcomes,Care Plans,,categorical,,,,477765,8018,0.2206,,,
mimiciv.icu.chartevents,228933,Post-op Care NCP - Expected outcomes,Post-op Care NCP - Expected outcomes,Care Plans,,categorical,,,,476233,8742,0.2406,,,
mimiciv.icu.chartevents,223935,PostTib. Pulses R,PostTib Pulses R,Cardiovascular (Pulses),,categorical,,,,470566,34940,0.9615,,,
mimiciv.icu.chartevents,223992,Cough Type,Cough Type,Pulmonary,,categorical,,,,465726,32524,0.895,,,
mimiciv.icu.chartevents,224000,Nares R,Nares R,GI/GU,,categorical,,,,464109,32394,0.8914,,,
mimiciv.icu.chartevents,223947,PostTib. Pulses L,PostTib Pulses L,Cardiovascular (Pulses),,categorical,,,,462236,34932,0.9613,,,
mimiciv.icu.chartevents,228298,Daily Wake Up,Daily Wake Up,Pain/Sedation,,categorical,,,,459579,29091,0.8005,,,
mimiciv.icu.chartevents,224879,Nares L,Nares L,GI/GU,,categorical,,,,454941,32287,0.8885,,,
mimiciv.icu.chartevents,223782,Pain Type,Pain Type,Pain/Sedation,,categorical,,,,443681,32385,0.8912,,,
mimiciv.icu.chartevents,223951,Capillary Refill R,Capillary Refill R,Cardiovascular (Pulses),,categorical,,,,436330,32631,0.8979,,,
mimiciv.icu.chartevents,224308,Capillary Refill L,Capillary Refill L,Cardiovascular (Pulses),,categorical,,,,428186,32568,0.8962,,,
mimiciv.icu.chartevents,223905,Cough Reflex,Cough Reflex,Neurological,,categorical,,,,416052,19724,0.5428,,,
mimiciv.icu.chartevents,228957,Coping/Knowledge Deficit  NCP - Interventions,CKD NCP - Interventions,Care Plans,,categorical,,,,412241,4266,0.1174,,,
mimiciv.icu.chartevents,223904,Gag Reflex,Gag Reflex,Neurological,,categorical,,,,410020,19534,0.5375,,,
mimiciv.icu.chartevents,224023,Support Systems,Support Systems,Restraint/Support Systems,,categorical,,,,408236,34119,0.9389,,,
mimiciv.icu.chartevents,229322,Breathing pattern/effort,Breathing pattern/effort,Pulmonary,,categorical,,,,398818,19255,0.5299,,,
