src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.icu.chartevents,224848,Incision Appearance #1,Incision Appearance #1,Skin - Incisions,,categorical,,,,243383,15935,0.4385,,,
mimiciv.icu.chartevents,227457,Platelet Count,Platelet Count,Labs,K/uL,numeric,20.2042,175.5152,641.1702,242027,36173,0.9954,,,
mimiciv.icu.chartevents,225625,Calcium non-ionized,Calcium non-ionized,Labs,mg/dL,numeric,6.5139,8.4,10.7232,241516,34569,0.9513,,,
mimiciv.icu.chartevents,223902,Speech,Speech,Neurological,,categorical,,,,241324,8950,0.2463,,,
mimiciv.icu.chartevents,220546,WBC,WBC,Labs,K/uL,numeric,1.7459,11.0975,41.2939,237864,36171,0.9953,,,
mimiciv.icu.chartevents,227756,Multi Lumen Placement Confirmed by X-ray,Multi Lumen Placement Confirmed by X-ray,Access Lines - Invasive,,categorical,,,,236325,11641,0.3203,,,
mimiciv.icu.chartevents,224005,Flatus,Flatus,GI/GU,,categorical,,,,235857,28751,0.7912,,,
mimiciv.icu.chartevents,223911,Spontaneous Movement,Spontaneous Movement,Neurological,,categorical,,,,232063,8896,0.2448,,,
mimiciv.icu.chartevents,224370,Sputum Color,Sputum Color,Respiratory,,categorical,,,,230375,13672,0.3762,,,
mimiciv.icu.chartevents,223849,Ventilator Mode,Ventilator Mode,Respiratory,,numeric,2.0,12.4098,57.5119,229772,12803,0.3523,,,
mimiciv.icu.chartevents,228404,Motor L Arm,Motor L Arm,Neurological,,categorical,,,,229147,13091,0.3602,,,
mimiciv.icu.chartevents,228405,Motor L Leg,Motor L Leg,Neurological,,categorical,,,,228910,13076,0.3598,,,
mimiciv.icu.chartevents,228406,Motor R Arm,Motor R Arm,Neurological,,categorical,,,,228656,13076,0.3598,,,
mimiciv.icu.chartevents,228407,Motor R Leg,Motor R Leg,Neurological,,categorical,,,,228322,13068,0.3596,,,
mimiciv.icu.chartevents,226814,Known difficult intubation,Known difficult intubation,Respiratory,,categorical,,,,226179,13265,0.365,,,
mimiciv.icu.chartevents,224369,Sputum Consistency,Sputum Consistency,Respiratory,,categorical,,,,223737,13440,0.3698,,,
mimiciv.icu.chartevents,223916,Response to Stimuli (Type),Response to Stimuli (Type),Neurological,,categorical,,,,220424,8807,0.2424,,,
mimiciv.icu.chartevents,227367,18 Gauge Dressing Occlusive,18 Gauge Dressing Occlusive,Access Lines - Peripheral,,numeric,0.0,1.0,1.0,219782,20410,0.5616,,,
mimiciv.icu.chartevents,229354,Foley Cath Insertion Location,Indwelling Urinary Cath Insertion Location,GI/GU,,categorical,,,,219277,13127,0.3612,,,
mimiciv.icu.chartevents,226137,18 Gauge placed in outside facility,18 Gauge placed in outside facility,Access Lines - Peripheral,,numeric,0.0,0.0,1.0,218869,20308,0.5588,,,
mimiciv.icu.chartevents,229687,Pain Assessment Method,Pain Assessment Method,Pain/Sedation,,categorical,,,,218291,10641,0.2928,,,
mimiciv.icu.chartevents,228013,20 G Phlebitis Scale,20 G Phlebitis Scale,Access Lines - Peripheral,,categorical,,,,216148,22296,0.6135,,,
mimiciv.icu.chartevents,223830,PH (Arterial),PH (Arterial),Labs,units,numeric,7.1157,7.3872,7.5408,214880,19940,0.5487,,,
mimiciv.icu.chartevents,228014,20 G Infiltration Scale,20 G Infiltration Scale,Access Lines - Peripheral,,categorical,,,,214848,22236,0.6119,,,
mimiciv.icu.chartevents,224756,Response,Response,Neurological,,categorical,,,,214000,8781,0.2416,,,
mimiciv.icu.chartevents,228983,Safety Restraints NCP - Expected outcomes,Safety Restraints NCP - Expected outcomes,Care Plans,,categorical,,,,213100,5620,0.1547,,,
mimiciv.icu.chartevents,228943,Infection NCP - Expected outcomes,Infection NCP - Expected outcomes,Care Plans,,categorical,,,,209661,6890,0.1896,,,
mimiciv.icu.chartevents,220224,Arterial O2 pressure,PO2 (Arterial),Labs,mmHg,numeric,52.5183,109.3363,444.592,208525,19828,0.5456,,,
mimiciv.icu.chartevents,220235,Arterial CO2 Pressure,PCO2 (Arterial),Labs,mmHg,numeric,23.5273,40.3087,77.5851,208494,19827,0.5456,,,
mimiciv.icu.chartevents,224828,Arterial Base Excess,Arterial Base Excess,Labs,mEq/L,numeric,-14.9769,0.0,13.7048,208485,19826,0.5456,,,
mimiciv.icu.chartevents,225698,TCO2 (calc) Arterial,TCO2 (calc) Arterial,Labs,mEq/L,numeric,12.3827,25.0,42.5308,208469,19826,0.5456,,,
mimiciv.icu.chartevents,224684,Tidal Volume (set),Tidal Volume (set),Respiratory,mL,numeric,188.8438,450.0,604.3334,205768,17438,0.4799,,,
mimiciv.icu.chartevents,223917,RU Strength/Movement,RU Strength/Movement,Neurological,,categorical,,,,203964,8227,0.2264,,,
mimiciv.icu.chartevents,223919,LU Strength/Movement,LU Strength/Movement,Neurological,,categorical,,,,203848,8227,0.2264,,,
mimiciv.icu.chartevents,223918,RL Strength/Movement,RL Strength/Movement,Neurological,,categorical,,,,203659,8223,0.2263,,,
mimiciv.icu.chartevents,223920,LL Strength/Movement,LL Strength/Movement,Neurological,,categorical,,,,203198,8220,0.2262,,,
mimiciv.icu.chartevents,224686,Tidal Volume (spontaneous),Tidal Volume (spontaneous),Respiratory,mL,numeric,0.2409,446.5169,1021.0231,202505,15296,0.4209,,,
mimiciv.icu.chartevents,220060,Pulmonary Artery Pressure diastolic,PAPd,Hemodynamics,mmHg,numeric,5.4483,18.993,38.0981,200775,4517,0.1243,,,
mimiciv.icu.chartevents,220059,Pulmonary Artery Pressure systolic,PAPs,Hemodynamics,mmHg,numeric,16.485,36.0456,80.4669,200718,4515,0.1242,,,
mimiciv.icu.chartevents,224738,Inspiratory Time,IT,Respiratory,sec,numeric,0.6,0.9,1.3497,200585,17591,0.4841,,,
mimiciv.icu.chartevents,220061,Pulmonary Artery Pressure mean,PAPm,Hemodynamics,mmHg,numeric,10.3703,25.1152,52.2792,197998,4669,0.1285,,,
mimiciv.icu.chartevents,224701,PSV Level,PSV Level,Respiratory,cmH2O,numeric,1.7056,5.7361,17.9577,194512,16032,0.4412,,,
mimiciv.icu.chartevents,224283,Multi Lumen Waveform Appear,Multi Lumen Waveform Appear,Access Lines - Invasive,,categorical,,,,194373,9874,0.2717,,,
mimiciv.icu.chartevents,229689,CPOT-Pain Assessment Method,CPOT-Pain Assessment Method,Pain/Sedation,,categorical,,,,193434,5820,0.1602,,,
mimiciv.icu.chartevents,223762,Temperature Celsius,Temperature C,Routine Vital Signs,°C,numeric,34.144,37.0,39.1562,193264,4939,0.1359,,,
mimiciv.icu.chartevents,228099,18 Gauge placed in the field,18 Gauge placed in the field,Access Lines - Peripheral,,numeric,0.0,0.0,1.0,190345,17909,0.4928,,,
mimiciv.icu.chartevents,225312,ART BP Mean,ART BP Mean,Routine Vital Signs,mmHg,numeric,43.8092,75.2319,127.5647,187170,3350,0.0922,,,
mimiciv.icu.chartevents,228416,Corneal Reflex Right,Corneal Reflex Right,Neurological,,categorical,,,,184422,9357,0.2575,,,
mimiciv.icu.chartevents,228393,Bath,Bath,Treatments,,categorical,,,,184057,24532,0.6751,,,
mimiciv.icu.chartevents,228415,Corneal Reflex Left,Corneal Reflex Left,Neurological,,categorical,,,,183118,9341,0.257,,,
mimiciv.icu.chartevents,228307,GI #1 Tube Place Check,GI #1 Tube Place Check,GI/GU,,categorical,,,,181867,13777,0.3791,,,
mimiciv.icu.chartevents,228953,Coping/Knowledge Deficit  NCP - Expected outcomes,CKD NCP - Expected outcomes,Care Plans,,categorical,,,,181710,4308,0.1185,,,
mimiciv.icu.chartevents,227466,PTT,PTT,Labs,sec,numeric,21.6905,33.4745,150.0,179519,32976,0.9074,,,
mimiciv.icu.chartevents,229314,Ventilator Mode (Hamilton),Ventilator Mode (Hamilton),Respiratory,,numeric,4.4034,9.0,13.6107,178477,7724,0.2125,,,
mimiciv.icu.chartevents,228559,Incision #1- Location,Incision #1- Location,Skin - Incisions,,categorical,,,,175618,12049,0.3316,,,
mimiciv.icu.chartevents,228496,Impaired Skin #1- Location,Impaired Skin #1- Location,Skin - Impairment,,categorical,,,,174670,10636,0.2927,,,
mimiciv.icu.chartevents,227292,Arterial Line Dressing Occlusive,Arterial Line Dressing Occlusive,Access Lines - Invasive,,numeric,0.5751,1.0,1.0,173834,10488,0.2886,,,
mimiciv.icu.chartevents,228400,Visual Field Cut,Visual Field Cut,Neurological,,categorical,,,,170904,13643,0.3754,,,
mimiciv.icu.chartevents,229604,Therapeutic Bed,Therapeutic Bed,Treatments,,categorical,,,,168733,5369,0.1477,,,
mimiciv.icu.chartevents,228306,Assistance Device,Assistance Device,Treatments,,categorical,,,,167692,4297,0.1182,,,
mimiciv.icu.chartevents,229384,Tongue,Tongue,Neurological,,categorical,,,,166980,10051,0.2766,,,
mimiciv.icu.chartevents,224041,Incision Drainage #1,Incision Drainage #1,Skin - Incisions,,categorical,,,,166588,15512,0.4269,,,
mimiciv.icu.chartevents,229245,Humidifier Water % Fill Level,Humidifier Water % Fill Level,Respiratory,,categorical,,,,165899,4979,0.137,,,
