src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.icu.chartevents,227759,PICC Line Placement Confirmed by X-ray,PICC Line Placement Confirmed by X-ray,Access Lines - Invasive,,categorical,,,,112299,4859,0.1337,,,
mimiciv.icu.chartevents,226871,Expiratory Ratio,Expiratory Ratio,Respiratory,,numeric,1.1722,2.9426,6.6535,112205,10725,0.2951,,,
mimiciv.icu.chartevents,224391,ETT Mark (location),ETT Mark (location),Respiratory,,categorical,,,,112146,11161,0.3071,,,
mimiciv.icu.chartevents,226873,Inspiratory Ratio,Inspiratory Ratio,Respiratory,,numeric,1.0,1.0,1.0118,111846,10727,0.2952,,,
mimiciv.icu.chartevents,223772,SvO2,SvO2,Hemodynamics,%,numeric,39.8934,65.4324,89.9417,109619,2457,0.0676,,,
mimiciv.icu.chartevents,227565,Ventilator Tank #1,Ventilator Tank #1,Respiratory,,numeric,495.2505,2000.0,3000.0,105930,13766,0.3788,,,
mimiciv.icu.chartevents,228560,Incision #2- Location,Incision #2- Location,Skin - Incisions,,categorical,,,,105898,6821,0.1877,,,
mimiciv.icu.chartevents,227566,Ventilator Tank #2,Ventilator Tank #2,Respiratory,,numeric,623.7165,2000.0,3000.0,105540,13734,0.3779,,,
mimiciv.icu.chartevents,229091,Altered Respiratory Status NCP - Problem resolved,ARS NCP - Problem resolved,Care Plans,,categorical,,,,103813,7812,0.215,,,
mimiciv.icu.chartevents,224009,GI #1 Tube Drainage,GI #1 Tube Drainage,GI/GU,,categorical,,,,103218,14460,0.3979,,,
mimiciv.icu.chartevents,224075,Education Readiness,Education Readiness,Restraint/Support Systems,,categorical,,,,102782,10758,0.296,,,
mimiciv.icu.chartevents,223780,Daily Wake Up Deferred,Daily Wake Up Deferred,Pain/Sedation,,categorical,,,,102241,6366,0.1752,,,
mimiciv.icu.chartevents,228308,GI #1 Tube Place Method,GI #1 Tube Place Method,GI/GU,,categorical,,,,100605,12703,0.3496,,,
mimiciv.icu.chartevents,224038,Impaired Skin Treatment #1,Site Treatment #1,Skin - Impairment,,categorical,,,,100413,5168,0.1422,,,
mimiciv.icu.chartevents,224561,Impaired Skin Type #1,Type #1,Skin - Impairment,,categorical,,,,96170,5851,0.161,,,
mimiciv.icu.chartevents,225231,20 Gauge Site Appear,20 Gauge Site Appear,Access Lines - Peripheral,,categorical,,,,95532,7508,0.2066,,,
mimiciv.icu.chartevents,224847,Impaired Skin Drainage Amount #1,Site Drainage Amount #1,Skin - Impairment,,categorical,,,,95048,11016,0.3031,,,
mimiciv.icu.chartevents,224842,Cardiac Output (CCO),CO (CCO),Hemodynamics,L/min,numeric,2.3643,4.9135,10.7522,93674,1897,0.0522,,,
mimiciv.icu.chartevents,229662,Pminimum,Pminimum,Respiratory,,numeric,-2.6926,4.7411,18.1089,90152,4767,0.1312,,,
mimiciv.icu.chartevents,226105,Behavior,Behavior,Neurological,,categorical,,,,89909,2786,0.0767,,,
mimiciv.icu.chartevents,229101,Impaired Tissue Perfusion NCP - Problem resolved,ITP NCP - Problem resolved,Care Plans,,categorical,,,,88176,8085,0.2225,,,
mimiciv.icu.chartevents,227464,Potassium (whole blood),Potassium (whole blood),Labs,mEq/L,numeric,2.8099,4.1,6.5272,87037,14620,0.4023,,,
mimiciv.icu.chartevents,229663,Pinsp (Hamilton),Pinsp (Hamilton),Respiratory,cmH2O,numeric,3.0,10.725,27.8881,85326,4775,0.1314,,,
mimiciv.icu.chartevents,229660,RCexp (Measured Time Constant),RCexp (Measured Time Constant),Respiratory,sec,numeric,0.1391,0.578,1.5542,84685,4767,0.1312,,,
mimiciv.icu.chartevents,229661,Compliance,Compliance,Respiratory,cmH2O/L/seconds,numeric,6.9939,46.3193,199.5026,84153,4756,0.1309,,,
mimiciv.icu.chartevents,229664,Resistance Exp,Resistance Exp,Respiratory,cmH2O/L/seconds,numeric,1.0,10.0,26.0266,83837,4749,0.1307,,,
mimiciv.icu.chartevents,224012,Stool Management,Stool Management,GI/GU,,categorical,,,,83622,7495,0.2062,,,
mimiciv.icu.chartevents,229665,Resistance Insp,Resistance Insp,Respiratory,cmH2O/L/seconds,numeric,0.9252,11.0,34.3408,83556,4742,0.1305,,,
mimiciv.icu.chartevents,224972,Surrounding Tissue #2,Surrounding Tissue #2,Skin - Impairment,,categorical,,,,81775,5162,0.142,,,
mimiciv.icu.chartevents,224958,Impaired Skin Wound Base #2,Site/Wound Base #2,Skin - Impairment,,categorical,,,,81384,4388,0.1207,,,
mimiciv.icu.chartevents,225013,Incision Drainage #2,Incision Drainage #2,Skin - Incisions,,categorical,,,,80926,8337,0.2294,,,
mimiciv.icu.chartevents,229103,Infection NCP - Problem resolved,Infection NCP - Problem resolved,Care Plans,,categorical,,,,80775,6706,0.1845,,,
mimiciv.icu.chartevents,227369,22 Gauge Dressing Occlusive,22 Gauge Dressing Occlusive,Access Lines - Peripheral,,numeric,0.0,1.0,1.0,80771,9213,0.2535,,,
mimiciv.icu.chartevents,226139,22 Gauge placed in outside facility,22 Gauge placed in outside facility,Access Lines - Peripheral,,numeric,0.0,0.0,1.0,80128,9151,0.2518,,,
